Pair,Trades,WinRate,Expectancy,MaxDrawdownR,AvgTimeInTradeBars
B-BTCUSDT,96,43.75,2.14,8.00,107.4
B-ETHUSDT,92,44.57,2.33,6.00,63.0
B-XRPUSDT,91,38.46,1.87,9.00,51.4
B-LTCUSDT,69,49.28,2.64,6.00,44.7
B-BCHUSDT,66,30.30,1.23,10.00,38.9
B-ADAUSDT,57,33.33,1.46,7.00,140.0
B-TRXUSDT,85,30.59,1.21,12.00,44.9
B-XLMUSDT,78,25.64,0.90,10.00,37.4
B-IOTAUSDT,77,36.36,1.79,14.00,59.1
B-XMRUSDT,32,34.38,1.75,8.00,33.4
B-DASHUSDT,51,31.37,1.22,11.00,459.5
B-ZECUSDT,70,22.86,0.73,12.00,77.4
B-NEOUSDT,85,32.94,1.54,6.00,98.2
