Scope,N,Mean,Median,StdDev,Min,Max,Skewness,ExcessKurtosis,JarqueBera,FatTailed,Normal,P5,P10,P25,P50,P75,P90,P95
B-XLMUSDT_R,78,1.0769,-1.0000,3.9814,-1.0000,8.7500,1.3966,-0.0257,25.3601,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,8.7500,8.7500
B-XLMUSDT_MFE,78,2.7556,0.9078,5.4828,0.0000,44.6822,5.9564,43.9291,6732.9543,YES,NO,0.0000,0.0737,0.3942,0.9078,4.3438,5.6999,6.8626
B-XLMUSDT_MAE,78,1.1657,1.0995,0.9576,0.0000,8.2878,5.3051,39.0732,5327.6831,YES,NO,0.0892,0.3752,1.0150,1.0995,1.2646,1.6463,1.9722
B-IOTAUSDT_R,76,2.0592,-1.0000,4.4403,-1.0000,8.7500,0.7766,-1.4113,13.9462,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,8.7500,8.7500,8.7500
B-IOTAUSDT_MFE,76,2.6573,1.2594,2.6686,0.0000,12.1762,0.9668,0.5582,12.8272,YES,NO,0.0685,0.1119,0.4623,1.2594,5.1089,5.6539,6.4615
B-IOTAUSDT_MAE,76,1.1345,1.0692,1.7187,0.0000,14.7937,6.7517,53.1321,9516.9824,YES,NO,0.0479,0.1199,0.3320,1.0692,1.2803,1.5639,1.8950
B-XMRUSDT_R,32,1.7422,-1.0000,4.4538,-1.0000,8.7500,0.9741,-1.1654,6.8713,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,8.7500,8.7500,8.7500
B-XMRUSDT_MFE,32,2.8182,1.3994,2.9356,0.0165,10.9070,1.1181,0.5525,7.0751,YES,NO,0.0958,0.1157,0.4459,1.3994,5.1162,6.4373,8.2233
B-XMRUSDT_MAE,32,0.9629,1.0951,0.5637,0.0000,2.4750,0.0413,0.3934,0.2154,YES,YES,0.0000,0.0871,0.4683,1.0951,1.1866,1.4194,1.6978
B-DASHUSDT_R,54,1.5648,-1.0000,4.0838,-1.0000,8.7500,1.0207,-0.8843,11.1350,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,5.0000,8.7500,8.7500
B-DASHUSDT_MFE,54,2.5609,1.0427,2.9303,0.0000,12.7128,1.4024,1.6640,23.9297,YES,NO,0.0219,0.1124,0.4620,1.0427,5.1245,5.6583,7.8480
B-DASHUSDT_MAE,54,1.4196,1.0576,3.3280,0.0000,25.1267,6.8741,49.2406,5880.7158,YES,NO,0.0000,0.1319,0.6414,1.0576,1.2130,1.5311,1.8604
B-ZECUSDT_R,69,0.8370,-1.0000,3.8405,-1.0000,8.7500,1.5940,0.5637,30.1344,YES,NO,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,8.7500,8.7500
B-ZECUSDT_MFE,69,2.0140,0.9760,2.2236,0.0000,9.7420,1.2741,0.8482,20.7358,YES,NO,0.1160,0.1947,0.3839,0.9760,3.1383,5.3056,6.0136
B-ZECUSDT_MAE,69,1.2754,1.1173,0.7734,0.0000,4.3500,1.8871,5.7183,134.9662,YES,NO,0.1126,0.6635,1.0067,1.1173,1.3493,1.9333,2.7424
B-NEOUSDT_R,84,1.8988,-1.0000,4.3933,-1.0000,8.7500,0.8682,-1.2542,16.0585,NO,NO,-1.0000,-1.0000,-1.0000,-1.0000,8.7500,8.7500,8.7500
B-NEOUSDT_MFE,84,2.6240,1.3984,2.6274,0.0000,12.7997,1.1561,1.3723,25.3034,YES,NO,0.0430,0.2167,0.5211,1.3984,5.1390,5.5825,6.5134
B-NEOUSDT_MAE,84,1.1765,1.1264,0.8626,0.0000,6.0544,2.5008,11.8303,577.3990,YES,NO,0.0487,0.1794,0.8651,1.1264,1.4166,1.7735,2.4893
